4527234,刘瑜,女,1975-12-24,中国,"[('送你一颗子弹', '8.6', '90180'), ('民主的细节', '8.6', '54500'), ('观念的水位', '8.3', '18225'), ('余欢', '7.7', '7940'), ('那么，爱呢？', '7.3', '2975'), ('给理想一点时间', '7.1', '2012')]"
4571364,周煦良,男,1905 至 1984,中国,"[('刀锋', '9.0', '27400'), ('存在主义是一种人道主义', '8.2', '1290'), ('珍妮的肖像', '9.0', '136'), ('福尔赛世家', '8.2', '114'), ('水孩子', '9.1', '61'), ('天边灯塔', '7.0', '53')]"
4562822,米兰·昆德拉 Milan Kundera,男,1929-04-01,捷克,"[('不能承受的生命之轻', '8.5', '137140'), ('生活在别处', '8.4', '24280'), ('不朽', '8.6', '10358'), ('玩笑', '8.4', '9026'), ('笑忘录', '8.4', '8867'), ('慢', '7.9', '8555')]"
4534365,黄仁宇 Ray Huang,男,1918-06-25 至 2000-01-08,美国,"[('万历十五年', '8.9', '63044'), ('中国大历史', '8.3', '18663'), ('赫逊河畔谈中国历史', '8.1', '5309'), ('黄河青山', '8.4', '2973'), ('资本主义与二十一世纪', '8.1', '2104'), ('从大历史的角度读蒋介石日记', '8.1', '1373')]"
4576627,伊塔洛·卡尔维诺 Italo Calvino,男,1923-10-15 至 1985-09-19,意大利,"[('看不见的城市', '8.8', '26739'), ('树上的男爵', '9.1', '10859'), ('如果在冬夜，一个旅人', '8.7', '7832'), ('分成两半的子爵', '8.7', '5756'), ('不存在的骑士', '8.8', '4798'), ('卡尔维诺文集（第三卷）', '9.3', '4088')]"
4572322,赫尔曼·黑塞 Hermann Hesse,男,1877-07-02 至 1962-08-09,德国,"[('悉达多', '9.0', '13092'), ('德米安', '9.0', '6819'), ('荒原狼', '8.9', '4270'), ('纳尔齐斯与歌尔德蒙', '9.2', '2574'), ('在轮下', '8.4', '2088'), ('玻璃球游戏', '9.0', '1948')]"
4503668,余华,男,1960-04-03,中国,"[('活着', '9.1', '138429'), ('许三观卖血记', '8.7', '64229'), ('兄弟（上）', '8.3', '58943'), ('兄弟（下）', '7.4', '37304'), ('第七天', '6.8', '29749'), ('在细雨中呼喊', '8.3', '14655')]"
4548691,黄永玉 Huang Yongyu,男,1924-07-09,中国,"[('边城', '8.6', '71758'), ('沿着塞纳河到翡冷翠', '8.7', '3886'), ('比我老的老头', '8.3', '3543'), ('湘行散记', '8.7', '2539'), ('长河', '8.8', '670'), ('无愁河的浪荡汉子·朱雀城', '9.3', '477')]"
4502034,沈从文,男,1902-12-28 至 1988-05-10,中国,"[('边城', '8.6', '71758'), ('湘行散记', '8.7', '2539'), ('从文自传', '8.9', '1227'), ('萧萧', '8.6', '816'), ('沈从文精选集', '8.9', '781'), ('长河', '8.8', '670')]"
4502504,张爱玲   Eileen Chang,女,1920-09-30 至 1995-09-08,中国,"[('倾城之恋', '8.5', '89186'), ('小团圆', '7.6', '40961'), ('红玫瑰与白玫瑰', '8.4', '40036'), ('半生缘', '8.6', '36596'), ('金锁记', '8.5', '29560'), ('第一炉香', '8.3', '17797')]"
4587509,玛格丽特·米切尔 Margaret Mitchell,女,1900-11-08 至 1949-08-16,美国,"[('飘', '9.3', '79890'), ('飘（下）', '9.3', '799'), ('飘（中）', '9.5', '187'), ('失去的莱松岛', '7.5', '41'), ('飘', '8.2', '15'), ('飘', '8.0', '12')]"
4513024,路遥,男,1949-12-03 至 1992-11-17,中国,"[('平凡的世界（全三部）', '9.0', '103380'), ('人生', '8.4', '17702'), ('早晨从中午开始', '9.0', '944'), ('路遥全集', '8.6', '495'), ('路遥精选集', '8.3', '308'), ('路遥文集(全5卷)', '9.2', '224')]"
4543693,阿加莎·克里斯蒂 Agatha Christie,女,1890-09-15 至 1976-01-12,英国,"[('东方快车谋杀案', '9.0', '39389'), ('无人生还', '8.9', '35836'), ('尼罗河上的惨案', '8.7', '19319'), ('罗杰疑案', '8.9', '16640'), ('ABC谋杀案', '8.0', '10526'), ('阳光下的罪恶', '8.2', '9636')]"
4502363,林少华,男,1952,中国,"[('挪威的森林', '8.0', '189834'), ('海边的卡夫卡', '8.1', '62458'), ('且听风吟', '7.8', '42479'), ('世界尽头与冷酷仙境', '8.6', '25788'), ('国境以南 太阳以西', '8.3', '24380'), ('舞！舞！舞！', '8.3', '20325')]"
4502361,村上春树 Haruki Murakami,男,1949-01-12,日本,"[('挪威的森林', '8.0', '189834'), ('1Q84 BOOK 1', '8.3', '78890'), ('海边的卡夫卡', '8.1', '62458'), ('1Q84 BOOK 2', '8.4', '50987'), ('当我谈跑步时我谈些什么', '8.1', '46470'), ('且听风吟', '7.8', '42479')]"
1039386,加西亚·马尔克斯 García Márquez,男,1927-03-06 至 2014-04-17,哥伦比亚,"[('百年孤独', '9.2', '122244'), ('霍乱时期的爱情', '9.0', '65564'), ('没有人给他写信的上校', '8.5', '13266'), ('一桩事先张扬的凶杀案', '8.7', '11527'), ('枯枝败叶', '7.9', '6996'), ('苦妓回忆录', '7.8', '5041')]"
1039386,加西亚·马尔克斯 García Márquez,男,1927-03-06 至 2014-04-17,哥伦比亚,"[('百年孤独', '9.2', '122244'), ('霍乱时期的爱情', '9.0', '65565'), ('没有人给他写信的上校', '8.5', '13266'), ('一桩事先张扬的凶杀案', '8.7', '11528'), ('枯枝败叶', '7.9', '6996'), ('苦妓回忆录', '7.8', '5041')]"
500079,普里莫·莱维 Primo Levi,男,1919-07-31 至 1987-04-11,意大利,"[('被淹没和被拯救的', '9.2', '1636'), ('再度觉醒', '9.0', '774'), ('这是不是个人', '8.9', '330'), ('若非此时，何时？', '8.7', '219'), ('周期表', '8.2', '204'), ('这就是奥斯维辛', '8.7', '41')]"
4572322,赫尔曼·黑塞 Hermann Hesse,男,1877-07-02 至 1962-08-09,德国,"[('悉达多', '9.0', '13093'), ('德米安', '9.0', '6820'), ('荒原狼', '8.9', '4270'), ('纳尔齐斯与歌尔德蒙', '9.2', '2574'), ('在轮下', '8.4', '2088'), ('玻璃球游戏', '9.0', '1948')]"
4510773,今何在,男,1977-12-23,中国,"[('悟空传', '8.4', '61464'), ('九州·羽传说', '8.2', '10018'), ('海上牧云记', '7.7', '7160'), ('西游日记', '7.7', '6648'), ('中国式青春', '7.4', '5149'), ('若星汉天空', '8.0', '4329')]"
1039386,加西亚·马尔克斯 García Márquez,男,1927-03-06 至 2014-04-17,哥伦比亚,"[('百年孤独', '9.2', '122244'), ('霍乱时期的爱情', '9.0', '65565'), ('没有人给他写信的上校', '8.5', '13266'), ('一桩事先张扬的凶杀案', '8.7', '11528'), ('枯枝败叶', '7.9', '6996'), ('苦妓回忆录', '7.8', '5041')]"
500079,普里莫·莱维 Primo Levi,男,1919-07-31 至 1987-04-11,意大利,"[('被淹没和被拯救的', '9.2', '1636'), ('再度觉醒', '9.0', '774'), ('这是不是个人', '8.9', '330'), ('若非此时，何时？', '8.7', '219'), ('周期表', '8.2', '204'), ('这就是奥斯维辛', '8.7', '41')]"
4572322,赫尔曼·黑塞 Hermann Hesse,男,1877-07-02 至 1962-08-09,德国,"[('悉达多', '9.0', '13093'), ('德米安', '9.0', '6820'), ('荒原狼', '8.9', '4270'), ('纳尔齐斯与歌尔德蒙', '9.2', '2574'), ('在轮下', '8.4', '2088'), ('玻璃球游戏', '9.0', '1948')]"
4510773,今何在,男,1977-12-23,中国,"[('悟空传', '8.4', '61464'), ('九州·羽传说', '8.2', '10018'), ('海上牧云记', '7.7', '7160'), ('西游日记', '7.7', '6648'), ('中国式青春', '7.4', '5149'), ('若星汉天空', '8.0', '4329')]"
355947,考琳·麦卡洛 Colleen McCullough,女,1937-06-01 至 2015-01-29,澳大利亚,"[('荆棘鸟', '8.6', '31930'), ('呼唤', '8.2', '846'), ('班纳特小姐的自立', '7.0', '155'), ('恺撒大传', '6.7', '94'), ('荆棘鸟', '9.1', '74'), ('遍地凶案', '5.2', '24')]"
4504184,汪曾祺,男,1920-03-05 至 1997-05-16,中国,"[('人间草木', '9.0', '5215'), ('受戒', '9.2', '4573'), ('岁朝清供', '9.2', '2986'), ('五味', '8.8', '2504'), ('汪曾祺谈吃', '8.9', '2383'), ('汪曾祺散文', '9.2', '2097')]"
101143,乔治·R·R·马丁 George R.R. Martin,男,1948,美国,"[('冰与火之歌（卷一）', '9.3', '23321'), ('冰与火之歌（卷二）', '9.4', '12622'), ('冰与火之歌（卷三）', '9.5', '10897'), ('冰与火之歌·卷四·群鸦的盛宴（全两册）', '9.2', '8825'), ('冰与火之歌·卷五·魔龙的狂舞（全三册）', '9.4', '6633'), ('冰与火之歌（卷一）', '9.4', '4816')]"
4502504,张爱玲   Eileen Chang,女,1920-09-30 至 1995-09-08,中国,"[('倾城之恋', '8.5', '89187'), ('小团圆', '7.6', '40961'), ('红玫瑰与白玫瑰', '8.4', '40038'), ('半生缘', '8.6', '36597'), ('金锁记', '8.5', '29561'), ('第一炉香', '8.3', '17797')]"
4543666,马塞尔·普鲁斯特 Marcel Proust,男,1871-07-10 至 1922-11-18,法国,"[('追忆似水年华 Ⅰ', '8.7', '8697'), ('追忆似水年华（上下册）', '9.1', '2393'), ('追寻逝去的时光', '8.6', '394'), ('在少女花影下', '9.4', '383'), ('追忆似水年华（第三卷）', '8.9', '336'), ('驳圣伯夫', '8.7', '274')]"
122104,阿城,男,1949-04-05,中国,"[('棋王', '8.7', '14135'), ('阿城精选集', '9.1', '4061'), ('棋王.樹王.孩子王', '9.1', '3311'), ('常识与通识', '8.6', '2740'), ('威尼斯日记', '8.6', '2052'), ('闲话闲说', '8.7', '1906')]"
607288,玛格丽特·阿特伍德 Margaret Atwood,女,1939-11-18,加拿大,"[('盲刺客', '8.8', '1245'), ('使女的故事', '8.2', '829'), ('好骨头', '8.1', '527'), ('可以吃的女人', '7.7', '435'), ('珀涅罗珀记', '7.7', '403'), ('黑暗中谋杀', '8.0', '398')]"
109845,安·兰德 Ayn Rand,女,1905-02-02 至 1982-03-06,美国,"[('源泉', '9.1', '5083'), ('阿特拉斯耸耸肩（上下）', '8.7', '2891'), ('一个人', '7.6', '874'), ('自私的德性', '8.6', '755'), ('致新知识分子', '8.4', '294'), ('通往明天的唯一道路', '8.0', '241')]"
4549225,李碧华 Lilian Lee,女,1959,中国香港,"[('霸王别姬 青蛇', '8.9', '14388'), ('青蛇', '8.4', '11733'), ('胭脂扣', '8.0', '7208'), ('胭脂扣 生死桥', '8.5', '5757'), ('潘金莲之前世今生 诱僧', '7.7', '4352'), ('生死桥', '8.2', '3841')]"
256799,马里奥·普佐 Mario Puzo,男,1920-10-15 至 1999-07-02,美国,"[('教父', '9.0', '17206'), ('教父2', '8.3', '2117'), ('教父 3：最后的教父', '8.5', '1438'), ('西西里人', '8.5', '284'), ('乌默它', '7.7', '249'), ('家族', '7.6', '211')]"
4508171,三岛由纪夫 Yukio Mishima,男,1925-01-14 至 1970-11-25,日本,"[('金阁寺', '8.6', '11294'), ('潮骚', '8.2', '6178'), ('春雪', '8.9', '4204'), ('假面自白', '8.4', '4200'), ('爱的饥渴', '8.0', '2451'), ('奔马', '8.8', '1536')]"
4528225,弗拉基米尔·纳博科夫 Vladimir Nabokov,男,1899-04-22 至 1977-07-02,美国,"[('洛丽塔', '7.7', '54900'), ('黑暗中的笑声', '8.4', '1677'), ('微暗的火', '8.6', '1455'), ('普宁', '8.2', '1407'), ('说吧，记忆', '8.8', '1404'), ('玛丽', '8.2', '1285')]"
4519645,林海音 Haiyin Lin,女,1918-03-18 至 2001-12-01,中国,"[('城南旧事', '8.9', '24982'), ('城南旧事', '9.4', '437'), ('林海音经典作品', '8.5', '242'), ('家住书坊边', '7.6', '147'), ('中国豆腐', '7.1', '140'), ('婚姻的故事', '7.4', '112')]"
191877,丹·布朗 Dan Brown,男,1964-06-22,美国,"[('达·芬奇密码', '8.2', '129222'), ('天使与魔鬼', '8.2', '25874'), ('失落的秘符', '7.4', '25766'), ('数字城堡', '7.3', '19658'), ('骗局', '7.3', '9627'), ('地狱', '7.4', '6486')]"
1043911,艾丽丝·门罗 Alice Munro,女,1931-07-10,加拿大,"[('逃离', '8.1', '7330'), ('亲爱的生活', '7.7', '2797'), ('公开的秘密', '8.3', '1007'), ('快乐影子之舞', '8.4', '721'), ('恨，友谊，追求，爱情，婚姻', '8.4', '594'), ('幸福过了头', '8.4', '540')]"
4576627,伊塔洛·卡尔维诺 Italo Calvino,男,1923-10-15 至 1985-09-19,意大利,"[('看不见的城市', '8.8', '26741'), ('树上的男爵', '9.1', '10860'), ('如果在冬夜，一个旅人', '8.7', '7832'), ('分成两半的子爵', '8.7', '5756'), ('不存在的骑士', '8.8', '4798'), ('卡尔维诺文集（第三卷）', '9.3', '4088')]"
4503594,大仲马 Alexandre Dumas,男,1802-07-24 至 1870-12-05,法国,"[('基督山伯爵', '9.0', '52081'), ('三个火枪手', '8.3', '9166'), ('黑郁金香', '7.6', '785'), ('二十年后', '8.2', '510'), ('布拉热洛纳子爵', '8.7', '393'), ('玛戈王后', '8.5', '366')]"
